cartodb_id,the_geom,field_1,centroid,lat,long,count,source_cartodb_id,source_field_1
1250,0101000020E6100000E586F8EA177A52C076E272BC82554440,IrisOfray,POINT,40.66805225,-73.90770983,22,1,bk
1282,0101000020E61000006F5B63E9667D52C033EE17FD325C4440,ashkalb,POINT,40.72030605,-73.95940623,22,1,bk
1285,0101000020E61000004B40866D8F7952C0BE13D46C75564440,SuHefner,POINT,40.67545853,-73.89937914,22,1,bk
1286,0101000020E61000007307DAB2367A52C0576B17893F554440,NatTheeBrat,POINT,40.66600145,-73.90958854,22,1,bk
1338,0101000020E610000021AD9412C07952C0D166CD7622534440,NailahStanley,POINT,40.64948926,-73.90234818,21,1,bk
1365,0101000020E610000017FE5FB7C07B52C06D158A954D5A4440,jersing,POINT,40.70549268,-73.93363747,21,1,bk
1397,0101000020E610000038E7B71ADF7C52C04F63D6E65A5B4440,blanketboat,POINT,40.7137116,-73.95111721,20,1,bk
30889,0101000020E610000078D55E9F947D52C029CBB50D485B4440,zeh,POINT,40.7131364,-73.9621962,1,1,bk
1443,0101000020E6100000FF76FABDA47A52C0F3E92DF55E594440,Livelikjorge,POINT,40.69821038,-73.91630506,20,1,bk
1449,0101000020E6100000B28D2E25C17C52C00C96A8E60B5C4440,thepiratebae,POINT,40.71911319,-73.94928865,20,1,bk
1566,0101000020E6100000B5F0C4C5747952C0CC7CE63088524440,st3viegooner,POINT,40.64478122,-73.89775223,19,1,bk
1608,0101000020E610000004D8B242F27C52C05755583E855B4440,wojno96,POINT,40.71500377,-73.95228641,18,1,bk
1700,0101000020E61000003FEB75E6797C52C0DEB57C0B885A4440,sharmeliss,POINT,40.70727676,-73.9449402,17,1,bk
1701,0101000020E6100000A65281CDD87C52C0368D50E05B5C4440,petersonlauren_,POINT,40.72155384,-73.95073259,17,1,bk
1713,0101000020E61000003E25C6B6F57C52C0EFBCE015B95A4440,DirtyGoldNYC,POINT,40.70877336,-73.95249719,17,1,bk
1787,0101000020E610000081D5ECDC0F7D52C095AFD361685B4440,tweetphee,POINT,40.71412299,-73.9540932,17,1,bk
1801,0101000020E61000003036E7BF4B7D52C0F3483093305B4440,OfficialAGomez,POINT,40.71241989,-73.95774839,17,1,bk
1825,0101000020E61000006F89750DA77B52C070DD41AA305A4440,cz77,POINT,40.70461014,-73.93207108,17,1,bk
1960,0101000020E6100000A1C951C2047A52C0E55F0D48295A4440,melissa_totan,POINT,40.70438481,-73.90654047,16,1,bk
1973,0101000020E610000081D9B1CF2B7B52C0D2A60B2DC2594440,ortizashly74,POINT,40.70123828,-73.92454903,16,1,bk
2044,0101000020E6100000208B23C5B67952C0AF4C8D0AFB584440,bushwickkeith,POINT,40.69516117,-73.9017804,15,1,bk
2072,0101000020E6100000AC67EF294C7952C05C3DC492B4584440,Domfishback,POINT,40.69301066,-73.89527367,15,1,bk
2078,0101000020E6100000423955E7267C52C05809ED07825A4440,flyelyfe,POINT,40.70709323,-73.93987449,15,1,bk
2095,0101000020E6100000581CEF0A547D52C0384935E4865C4440,DestinySharlow,POINT,40.72286656,-73.95825456,15,1,bk
2100,0101000020E6100000898D05C71D7B52C0BDBDB55DB2594440,FOrDsLaDyWWEFan,POINT,40.7007558,-73.92369247,15,1,bk
2118,0101000020E61000001E04364A4B7D52C0F62C639E705C4440,v_argentina,POINT,40.72218685,-73.95772033,15,1,bk
2121,0101000020E610000080894F6C4B7B52C08D772E29CA594440,andrewfknsimon,POINT,40.70148196,-73.92647846,15,1,bk
2146,0101000020E61000003F503430EE7C52C03732D118945C4440,austinmonroe,POINT,40.72326956,-73.95203786,15,1,bk
2148,0101000020E6100000057A1309877C52C005A41E1E195A4440,DocZeus,POINT,40.70389153,-73.94574191,15,1,bk
2173,0101000020E6100000B62328C0A87D52C028A81396195C4440,PaleSoftGrunge,POINT,40.71953083,-73.96342472,15,1,bk
2212,0101000020E61000009288F8A04A7B52C0264E72B0CC594440,ANGEL_ENALTA,POINT,40.70155912,-73.92642998,14,1,bk
2217,0101000020E610000080A1E461A37C52C0D7F09991665B4440,MicheleWitchipo,POINT,40.71406765,-73.94747207,14,1,bk
2219,0101000020E610000050DDBF26297A52C05C3F3713D7594440,LyndsayFaye,POINT,40.70187607,-73.90876168,14,1,bk
2263,0101000020E6100000DC26A280297C52C08B7B03FEB65A4440,tracygrayhair,POINT,40.70870948,-73.94003311,14,1,bk
2266,0101000020E6100000F0D0E252B67D52C017567DF0525B4440,existentialhype,POINT,40.71346861,-73.96425316,14,1,bk
2276,0101000020E61000009B6BE22ECC7B52C0DC32F9C9C5594440,stephhvv,POINT,40.70134854,-73.93433735,14,1,bk
2297,0101000020E6100000B2274722B07952C021BE5D40F9584440,OGZachariah,POINT,40.69510655,-73.90137536,14,1,bk
2302,0101000020E61000003875D487247D52C0F7B96FEF795B4440,JimmyDiResta,POINT,40.71465867,-73.95535465,14,1,bk
2331,0101000020E610000028552E965A7D52C0AB018C5F5F5C4440,burger,POINT,40.72166056,-73.95865397,14,1,bk
2350,0101000020E6100000680D5A1F017D52C0AFB5D69B415B4440,ceciarq,POINT,40.71293972,-73.95319351,14,1,bk
2352,0101000020E6100000A2AA3221607C52C0C76904F2D7594440,RaeWitte,POINT,40.70190263,-73.94336729,14,1,bk
2353,0101000020E610000095641D8EEE7952C0CAB447B9455A4440,Nell_Johnson,POINT,40.7052528,-73.90518525,14,1,bk
2355,0101000020E6100000BD91D49D427D52C03B221951DE5A4440,ZipzWine,POINT,40.70990957,-73.95719095,14,1,bk
2366,0101000020E6100000890C484EE87952C04723D902C6594440,Gabration,POINT,40.70135532,-73.90480382,14,1,bk
2410,0101000020E6100000F1014F94E37A52C03080F0A1C4594440,ThisNYCKid,POINT,40.70131325,-73.92014034,14,1,bk
2430,0101000020E610000079409778997952C0D2D77FDF37554440,MuthaaFuckaaWha,POINT,40.66576761,-73.89999213,13,1,bk
