,Unnamed: 0,UserID,Username,Tweeted_At,Tweet ID,Location,Geo,Place,Profile_Create_at,Retweeted_Count,Text,geometry,datetime
376233,463161,48875310.0,MrNaassir,Tue Feb 24 08:32:42 +0000 2015,570139241931517952,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69050606, -73.8238214]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@Domi52778 @dermott_ann @Leonor188 @almohid @roseflourish_13 @GCHDutta @myaf123 @space_mattt http://t.co/g8KvIQLJBg,POINT (40.69050606 -73.8238214),2015-02-24 08:32:42
376235,463163,48875310.0,MrNaassir,Tue Feb 24 08:32:28 +0000 2015,570139181881696256,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69050606, -73.8238214]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@Domi52778 @dermott_ann @Leonor188 @almohid @roseflourish_13 @GCHDutta @myaf123 @space_mattt http://t.co/v5foNreLpr,POINT (40.69050606 -73.8238214),2015-02-24 08:32:28
376239,463167,48875310.0,MrNaassir,Tue Feb 24 08:32:10 +0000 2015,570139105331417088,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69048892, -73.82379714]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@Leonor188 @roseflourish_13 @Domi52778 @dermott_ann @almohid @GCHDutta @myaf123 @space_mattt http://t.co/jgGfpCZJG6,POINT (40.69048892 -73.82379714),2015-02-24 08:32:10
376240,463168,48875310.0,MrNaassir,Tue Feb 24 08:31:48 +0000 2015,570139015988572160,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69048892, -73.82379714]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@Leonor188: @roseflourish_13 @Domi52778 @dermott_ann @almohid @GCHDutta @myaf123 @space_mattt have a great day http://t.co/whW8oWEuQy,POINT (40.69048892 -73.82379714),2015-02-24 08:31:48
376246,463174,48875310.0,MrNaassir,Tue Feb 24 08:31:36 +0000 2015,570138964574789632,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69048892, -73.82379714]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@Leonor188 @roseflourish_13 @Domi52778 @dermott_ann @almohid @GCHDutta @myaf123 @space_mattt http://t.co/YmUMQKcqc9,POINT (40.69048892 -73.82379714),2015-02-24 08:31:36
376248,463176,48875310.0,MrNaassir,Tue Feb 24 08:31:26 +0000 2015,570138923109879808,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69058254, -73.82373382]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@Leonor188 @roseflourish_13 @Domi52778 @dermott_ann @almohid @GCHDutta @myaf123 @space_mattt http://t.co/XM8dhav2yN,POINT (40.69058254 -73.82373382),2015-02-24 08:31:26
379929,466857,48875310.0,MrNaassir,Tue Feb 24 09:05:32 +0000 2015,570147503603113986,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69056297, -73.82380492]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@ranasilvia63 http://t.co/cdwbfxQs7A,POINT (40.69056297 -73.82380492),2015-02-24 09:05:32
379932,466860,48875310.0,MrNaassir,Tue Feb 24 09:05:12 +0000 2015,570147418441965568,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69056297, -73.82380492]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@ranasilvia63 http://t.co/waNkiKjTLY,POINT (40.69056297 -73.82380492),2015-02-24 09:05:12
379933,466861,48875310.0,MrNaassir,Tue Feb 24 09:04:56 +0000 2015,570147354558513153,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69056297, -73.82380492]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,@ranasilvia63 http://t.co/ZlfIBrRtTL,POINT (40.69056297 -73.82380492),2015-02-24 09:04:56
379936,466864,48875310.0,MrNaassir,Tue Feb 24 09:04:26 +0000 2015,570147226913280000,New Yark City.New York. U.S.A.,"{u'type': u'Point', u'coordinates': [40.69058968, -73.82373413]}","{u'full_name': u'Queens, NY', u'url': u'https://api.twitter.com/1.1/geo/id/00c39537733fa112.json', u'country': u'United States', u'place_type': u'city', u'bounding_box': {u'type': u'Polygon', u'coordinates': [[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]]}, u'contained_within': [], u'country_code': u'US', u'attributes': {}, u'id': u'00c39537733fa112', u'name': u'Queens'}",Sat Jun 20 00:18:35 +0000 2009,0,"@ranasilvia63: @MrNaassir http://t.co/5oYxdDONcS
",POINT (40.69058968 -73.82373413000001),2015-02-24 09:04:26
